name,pop
Querétaro,1143544
Ciudad de México,9724226
Colima,466124
Morelos,1299939
Aguascalientes,782890
Chihuahua,2656214
Guanajuato,4332525
Coahuila,2145539
Nuevo León,3370912
Tamaulipas,2272724
Yucatán,1482218
Sinaloa,2397706
Quintana Roo,536599
Durango,1467826
Hidalgo,2053998
Zacatecas,1383680
Campeche,582193
San Luis Potosí,2179006
Jalisco,5772704
Veracruz,6774736
Puebla,4487672
Guerrero,2867451
Michoacán,3859507
Estado de México,10662420
Tlaxcala,828003
Oaxaca,3329574
Tabasco,1633691
Chiapas,3524501
Sonora,1983593
Baja California,1806829
Nayarit,897046
Baja California Sur,345682
