Fecha,México,Susana_00,Susana_20,Susana_50
2020-02-28,1.0,,,
2020-02-29,4.0,,,
2020-03-01,5.0,,,
2020-03-02,5.0,,,
2020-03-03,5.0,,,
2020-03-04,5.0,,,
2020-03-05,5.0,,,
2020-03-06,6.0,,,
2020-03-07,7.0,,,
2020-03-08,7.0,,,
2020-03-09,7.0,,,
2020-03-10,7.0,,,
2020-03-11,11.0,,,
2020-03-12,16.0,,,
2020-03-13,30.0,,,
2020-03-14,44.0,,,
2020-03-15,55.0,,,
2020-03-16,75.0,,,
2020-03-17,101.0,,,
2020-03-18,118.0,,,
2020-03-19,177.0,177.0,177.0,177.0
2020-03-20,203.0,218.0,218.0,218.0
2020-03-21,251.0,265.0,265.0,265.0
2020-03-22,316.0,319.0,319.0,319.0
2020-03-23,356.0,378.0,378.0,378.0
2020-03-24,405.0,442.0,442.0,442.0
2020-03-25,475.0,509.0,509.0,509.0
2020-03-26,585.0,581.0,581.0,581.0
2020-03-27,717.0,656.0,656.0,656.0
2020-03-28,848.0,735.0,732.0,727.0
2020-03-29,993.0,820.0,807.0,792.0
2020-03-30,,908.0,881.0,851.0
2020-03-31,,1002.0,955.0,903.0
2020-04-01,,1101.0,1028.0,949.0
2020-04-02,,1206.0,1100.0,990.0
2020-04-03,,1317.0,1172.0,1027.0
