Fecha,México,Susana_00_min,Susana_20_min,Susana_50_min,Susana_00_max,Susana_20_max,Susana_50_max,Susana_00,Susana_20,Susana_50
2020-02-28,1.0,,,,,,,,,
2020-02-29,4.0,,,,,,,,,
2020-03-01,5.0,,,,,,,,,
2020-03-02,5.0,,,,,,,,,
2020-03-03,5.0,,,,,,,,,
2020-03-04,5.0,,,,,,,,,
2020-03-05,5.0,,,,,,,,,
2020-03-06,6.0,,,,,,,,,
2020-03-07,7.0,,,,,,,,,
2020-03-08,7.0,,,,,,,,,
2020-03-09,7.0,,,,,,,,,
2020-03-10,7.0,,,,,,,,,
2020-03-11,11.0,,,,,,,,,
2020-03-12,16.0,,,,,,,,,
2020-03-13,30.0,,,,,,,,,
2020-03-14,44.0,,,,,,,,,
2020-03-15,55.0,,,,,,,,,
2020-03-16,75.0,,,,,,,,,
2020-03-17,101.0,,,,,,,,,
2020-03-18,118.0,,,,,,,,,
2020-03-19,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0
2020-03-20,203.0,218.0,218.0,218.0,192.0,192.0,192.0,208.0,208.0,208.0
2020-03-21,251.0,265.0,265.0,265.0,209.0,209.0,209.0,244.0,244.0,244.0
2020-03-22,316.0,319.0,319.0,319.0,245.0,245.0,245.0,292.0,292.0,292.0
2020-03-23,356.0,378.0,378.0,378.0,298.0,298.0,298.0,351.0,351.0,351.0
2020-03-24,405.0,442.0,442.0,442.0,367.0,367.0,367.0,422.0,422.0,422.0
2020-03-25,475.0,509.0,509.0,509.0,457.0,457.0,457.0,503.0,503.0,503.0
2020-03-26,585.0,581.0,581.0,581.0,573.0,573.0,573.0,597.0,597.0,597.0
2020-03-27,717.0,656.0,656.0,656.0,724.0,724.0,724.0,707.0,707.0,707.0
2020-03-28,848.0,735.0,732.0,727.0,920.0,904.0,886.0,834.0,826.0,817.0
2020-03-29,993.0,820.0,807.0,792.0,1174.0,1117.0,1052.0,981.0,953.0,922.0
2020-03-30,1094.0,908.0,881.0,851.0,1503.0,1370.0,1222.0,1151.0,1090.0,1022.0
2020-03-31,,1002.0,955.0,903.0,1931.0,1672.0,1396.0,1348.0,1237.0,1117.0
2020-04-01,,1101.0,1028.0,949.0,2486.0,2031.0,1575.0,1577.0,1396.0,1207.0
2020-04-02,,1206.0,1100.0,990.0,3207.0,2459.0,1759.0,1842.0,1566.0,1292.0
2020-04-03,,1317.0,1172.0,1027.0,4142.0,2970.0,1948.0,2150.0,1750.0,1373.0
2020-04-04,,1434.0,1243.0,1060.0,5356.0,3578.0,2143.0,2506.0,1947.0,1449.0
2020-04-05,,1558.0,1314.0,1089.0,6931.0,4302.0,2343.0,2919.0,2160.0,1522.0
2020-04-06,,1689.0,1384.0,1115.0,8975.0,5166.0,2549.0,3398.0,2389.0,1591.0
2020-04-07,,1827.0,1453.0,1138.0,11627.0,6195.0,2761.0,3952.0,2635.0,1657.0
2020-04-08,,1973.0,1522.0,1159.0,15069.0,7421.0,2979.0,4596.0,2901.0,1719.0
2020-04-09,,2128.0,1590.0,1177.0,19535.0,8882.0,3204.0,5341.0,3186.0,1779.0
2020-04-10,,2291.0,1657.0,1193.0,25330.0,10622.0,3434.0,6205.0,3494.0,1835.0
2020-04-11,,2463.0,1724.0,1208.0,32849.0,12697.0,3672.0,7207.0,3825.0,1888.0
2020-04-12,,2645.0,1791.0,1221.0,42604.0,15168.0,3916.0,8367.0,4181.0,1939.0
2020-04-13,,2838.0,1857.0,1233.0,55258.0,18113.0,4167.0,9713.0,4564.0,1987.0
2020-04-14,,3042.0,1922.0,1243.0,71672.0,21622.0,4425.0,11272.0,4977.0,2033.0
2020-04-15,,3257.0,1987.0,1252.0,92959.0,25802.0,4691.0,13080.0,5421.0,2076.0
2020-04-16,,3484.0,2051.0,1261.0,120559.0,30783.0,4965.0,15175.0,5899.0,2118.0
2020-04-17,,3724.0,2115.0,1268.0,156334.0,36716.0,5246.0,17603.0,6414.0,2157.0
2020-04-18,,3978.0,2178.0,1274.0,202690.0,43785.0,5535.0,20417.0,6968.0,2194.0
2020-04-19,,4247.0,2240.0,1280.0,262726.0,52205.0,5833.0,23679.0,7565.0,2229.0
2020-04-20,,4530.0,2302.0,1286.0,340433.0,62234.0,6139.0,27459.0,8207.0,2263.0
2020-04-21,,4830.0,2364.0,1290.0,440933.0,74178.0,6454.0,31840.0,8898.0,2295.0
2020-04-22,,5147.0,2425.0,1294.0,570778.0,88403.0,6778.0,36917.0,9642.0,2325.0
2020-04-23,,5482.0,2485.0,1298.0,738317.0,105340.0,7112.0,42800.0,10442.0,2354.0
2020-04-24,,5835.0,2545.0,1301.0,954129.0,125505.0,7455.0,49618.0,11304.0,2381.0
2020-04-25,,6209.0,2605.0,1304.0,1231526.0,149508.0,7807.0,57518.0,12232.0,2407.0
2020-04-26,,6604.0,2663.0,1307.0,1587106.0,178074.0,8170.0,66672.0,13230.0,2431.0
2020-04-27,,7022.0,2722.0,1309.0,2041320.0,212060.0,8544.0,77278.0,14305.0,2455.0
2020-04-28,,7463.0,2780.0,1311.0,2618997.0,252484.0,8928.0,89566.0,15462.0,2477.0
2020-04-29,,7930.0,2837.0,1313.0,3349692.0,300547.0,9323.0,103801.0,16707.0,2498.0
2020-04-30,,8423.0,2894.0,1315.0,4267717.0,357670.0,9729.0,120291.0,18048.0,2518.0
2020-05-01,,8944.0,2951.0,1316.0,5411640.0,425525.0,10147.0,139390.0,19491.0,2537.0
2020-05-02,,9494.0,3007.0,1317.0,6823024.0,506081.0,10577.0,161509.0,21043.0,2555.0
2020-05-03,,10076.0,3062.0,1319.0,8544243.0,601648.0,11020.0,187121.0,22715.0,2572.0
2020-05-04,,10691.0,3117.0,1320.0,10615345.0,714928.0,11475.0,216775.0,24514.0,2588.0
2020-05-05,,11341.0,3172.0,1321.0,13070223.0,849071.0,11943.0,251100.0,26450.0,2604.0
2020-05-06,,12027.0,3226.0,1321.0,15932660.0,1007737.0,12424.0,290825.0,28534.0,2619.0
2020-05-07,,12753.0,3279.0,1322.0,19213039.0,1195151.0,12919.0,336787.0,30777.0,2632.0
2020-05-08,,13520.0,3333.0,1323.0,22906482.0,1416171.0,13429.0,389951.0,33191.0,2646.0
2020-05-09,,14330.0,3385.0,1323.0,26992735.0,1676335.0,13953.0,451424.0,35790.0,2658.0
2020-05-10,,15187.0,3438.0,1324.0,31437432.0,1981910.0,14492.0,522479.0,38586.0,2670.0
2020-05-11,,16092.0,3489.0,1324.0,36193818.0,2339919.0,15047.0,604571.0,41595.0,2681.0
2020-05-12,,17048.0,3541.0,1325.0,41203944.0,2758139.0,15617.0,699369.0,44834.0,2692.0
2020-05-13,,18059.0,3592.0,1325.0,46398953.0,3245066.0,16204.0,808775.0,48320.0,2702.0
2020-05-14,,19127.0,3642.0,1325.0,51699049.0,3809830.0,16808.0,934954.0,52071.0,2712.0
2020-05-15,,20256.0,3692.0,1326.0,57014417.0,4462050.0,17428.0,1080367.0,56108.0,2721.0
2020-05-16,,21449.0,3742.0,1326.0,62248365.0,5211621.0,18067.0,1247797.0,60452.0,2730.0
2020-05-17,,22710.0,3791.0,1326.0,67303058.0,6068430.0,18724.0,1440383.0,65127.0,2738.0
